"name";"intcode";"barcode";"price";"dept";"tag";"unit"
"Корпус Miditower Codegen ""3340-A11"" ATX 2.03, черно-серебр. (450Вт, ATX12V V2.03)";"374";"0000000000000";"1495";"2";"1";"шт."
"Новогодняя елка светящаяся ORIENT ""335D"" (USB)";"375";"0000000000000";"190";"2";"1";"шт."
"Тонер для Samsung ML-1210/1250/4500 (фл. 85г) B&W";"376";"0000000000000";"65";"2";"1";"шт."
"Процессор Intel Pentium D 3.2 ГГц/2Мб/800МГц LGA775";"383";"0000000000000";"1530";"1";"1";"шт."
"Жесткий диск 250 Gb SATA-II 300 Western Digital <2500AAKS> 7200rpm 16Mb";"384";"0000000000000";"1400";"1";"1";"шт."
"Системный блок (Celeron D 3.6,775,G945M,2Gb,500Gb,GNS,GK,G-SP)";"385";"0000000000000";"9300";"1";"1";"шт."
"Монитор Samsung SyncMaster 15";"386";"0000000000000";"2000";"1";"1";"шт."
"Видеокарта PCI-E 512МБ Palit ""GeForce 8400 GS Super"" NE28400SFHD56-N2181 (GeForce 8400 GS, DDR2, D-S	2";"387";"0000000000000";"1285";"2";"1";"шт."
"Модуль оперативной памяти 2ГБ DDR3 SDRAM Kingston ""ValueRAM"" KVR1333D3N9/2G (PC10600, 1333МГц, CL9)";"389";"0000000000000";"670";"2";"1";"шт."
"Материнская плата SocketAM3 GIGABYTE ""GA-M52LT-D3"" rev.2.3 (nForce 520LE, 4xDDR3, U133, SATA II-RAID";"390";"0000000000000";"2180";"2";"1";"шт."
"Системный блок (Celeron DC 2.8 ,775,G945M,2Gb,500Gb,GNS,GK,G-SP,GF8400)";"391";"0000000000000";"0";"2";"1";"шт."
"Видеокарта PCI-E 1024МБ PowerColor ""Radeon HD 5770"" AX5770 1GBD5-H (Radeon HD 5770, DDR5, D-Sub, DVI";"392";"0000000000000";"5345";"2";"1";"шт."
"Бумага для фото-печати Lomond 0102035 (10x15см, 230г/кв.м, 50л., глянц.)";"393";"0000000000000";"90";"2";"1";"шт."
"Гарнитура Cosonic ""CD-850MV"" с регулятором громкости";"394";"0000000000000";"390";"2";"1";"шт."
"Гарнитура Sven ""SEB 26 BK""";"395";"0000000000000";"310";"2";"1";"шт."
"Кабель VGA (PRO) 15x15 сигнальный (3.0м)";"396";"0000000000000";"150";"2";"1";"шт."
"Корпус Miditower Codegen ""3336-A2"" ATX 2.03, черно-серый (450Вт, ATX12V V2.03)";"398";"0000000000000";"1670";"2";"1";"шт."
"Устройство чтения карт памяти CF/SM/MD/miniSD/microSD/SDHC/MMC Micro/XD/MS Microsonic ""57-in-1 CR82""";"399";"0000000000000";"230";"2";"1";"шт."
"Брелок для поиска ключей/вещей (отзывается на свист ) Orient KF-416, встроенный фонарик (1 LED)";"400";"0000000000000";"185";"2";"1";"шт."
